"product_name","launch_cohort","total_sales","total_claims","claim_ratio"
"AirPods (2nd Generation)","After 3 Months","5253","115","2.19"
"AirPods (2nd Generation)","The First 30 Days","233","9","3.86"
"AirPods (3rd Generation)","After 3 Months","7763","194","2.50"
"AirPods (3rd Generation)","The First 30 Days","207","8","3.86"
"AirPods Max","After 3 Months","4821","105","2.18"
"AirPods Max","The First 30 Days","188","6","3.19"
"AirPods Pro","The First 30 Days","206","2","0.97"
"AirPods Pro (2nd Generation)","After 3 Months","8578","236","2.75"
"AirPods Pro (2nd Generation)","The First 30 Days","202","6","2.97"
"AirTag","After 3 Months","10282","253","2.46"
"AirTag","The First 30 Days","201","4","1.99"
"Apple Arcade","The First 30 Days","211","1","0.47"
"Apple Fitness+","After 3 Months","7884","182","2.31"
"Apple Fitness+","The First 30 Days","233","5","2.15"
"Apple Music","After 3 Months","9361","242","2.59"
"Apple Music","The First 30 Days","202","7","3.47"
"Apple News+","After 3 Months","6099","139","2.28"
"Apple News+","The First 30 Days","229","6","2.62"
"Apple One","After 3 Months","10093","279","2.76"
"Apple One","The First 30 Days","200","7","3.50"
"Apple Pencil (1st Generation)","After 3 Months","311","0","0.00"
"Apple Pencil (1st Generation)","The First 30 Days","199","1","0.50"
"Apple Pencil (2nd Generation)","After 3 Months","2746","49","1.78"
"Apple Pencil (2nd Generation)","The First 30 Days","200","4","2.00"
"Apple TV (3rd Generation)","After 3 Months","9988","231","2.31"
"Apple TV (3rd Generation)","The First 30 Days","215","10","4.65"
"Apple TV 4K","After 3 Months","3592","65","1.81"
"Apple TV 4K","The First 30 Days","219","5","2.28"
"Apple TV HD","After 3 Months","6524","160","2.45"
"Apple TV HD","The First 30 Days","183","0","0.00"
"Apple TV+","The First 30 Days","75","0","0.00"
"Apple Watch Hermès","After 3 Months","11157","284","2.55"
"Apple Watch Hermès","The First 30 Days","212","10","4.72"
"Apple Watch Nike Edition","After 3 Months","9966","246","2.47"
"Apple Watch Nike Edition","The First 30 Days","195","10","5.13"
"Apple Watch SE","After 3 Months","10882","267","2.45"
"Apple Watch SE","The First 30 Days","218","4","1.83"
"Apple Watch Series 5","After 3 Months","1832","17","0.93"
"Apple Watch Series 5","The First 30 Days","198","4","2.02"
"Apple Watch Series 6","After 3 Months","3165","63","1.99"
"Apple Watch Series 6","The First 30 Days","188","7","3.72"
"Apple Watch Series 7","After 3 Months","11167","289","2.59"
"Apple Watch Series 7","The First 30 Days","208","4","1.92"
"Apple Watch Series 8","After 3 Months","4878","106","2.17"
"Apple Watch Series 8","The First 30 Days","182","4","2.20"
"Apple Watch Series 9","After 3 Months","9573","259","2.71"
