"new_product_name","launch_date","sales_before","sales_after","cannibalization_percentage"
"Apple TV+","2024-11-04","7041","0","-100.00"
"AirPods Pro","2024-10-06","11209","4233","-62.24"
"iPhone 14 Pro Max","2024-10-07","12931","4889","-62.19"
"MacBook Pro 13-inch","2021-01-17","2322","1892","-18.52"
"Apple TV HD","2021-11-24","1259","1035","-17.79"
"Beats Powerbeats Pro","2020-12-15","1194","989","-17.17"
"Silicone Case for iPhone","2022-01-22","4660","4047","-13.15"
"MacBook (Early 2015)","2022-11-19","4609","4065","-11.80"
"Smart Cover for iPad","2023-01-25","6568","5839","-11.10"
"iPad mini (5th Generation)","2023-01-10","8028","7192","-10.41"
"AirPods Max","2022-08-19","6939","6271","-9.63"
"Lightning to USB Cable","2024-01-05","11523","10585","-8.14"
"iMac 24-inch","2021-04-07","2390","2245","-6.07"
"iPhone 14","2021-06-13","4582","4308","-5.98"
"iPhone 12 Pro","2024-08-03","12497","11799","-5.59"
"HomePod mini","2023-06-22","1280","1209","-5.55"
"AirPods (3rd Generation)","2021-05-30","3384","3199","-5.47"
"iPad Pro 12.9-inch","2023-11-10","10578","10004","-5.43"
"iMac Pro","2021-08-20","3222","3073","-4.62"
"Beats Studio Buds","2024-05-07","9913","9495","-4.22"
"iPhone SE (3rd Generation)","2022-11-10","7840","7524","-4.03"
"Beats Solo Pro","2024-02-26","9025","8693","-3.68"
"MacBook","2023-09-17","5758","5605","-2.66"
"Apple Watch Series 6","2023-04-27","6647","6481","-2.50"
"Apple Watch Series 8","2022-07-12","5708","5596","-1.96"
"MacBook Pro 14-inch","2024-05-12","8384","8223","-1.92"
"Apple Watch Series 5","2023-11-10","7581","7487","-1.24"
"Mac Pro (2023)","2023-07-14","8687","8583","-1.20"
"iPhone 13","2023-06-15","8490","8409","-0.95"
"iPad Pro 11-inch","2023-05-07","8437","8369","-0.81"
"Mac Pro (Tower)","2022-10-31","7343","7286","-0.78"
"Beats Fit Pro","2022-12-23","7765","7706","-0.76"
"Apple Pencil (2nd Generation)","2023-06-21","8967","8946","-0.23"
"iMac 27-inch","2022-05-17","5367","5363","-0.07"
"Apple Watch Series 7","2020-01-13","0","1137","0"
"MagSafe Battery Pack","2020-03-27","0","985","0"
"Apple Watch SE","2020-01-20","0","2120","0"
"Magic Mouse","2023-08-26","10095","10122","0.27"
"Apple Arcade","2024-09-13","5784","5806","0.38"
"iPhone 14 Plus","2023-09-04","10056","10112","0.56"
"iPhone 13 Pro Max","2024-05-09","10671","10734","0.59"
"Apple Watch Series 9","2020-09-12","4368","4396","0.64"
"MagSafe Charger","2024-03-27","11546","11627","0.70"
"iPhone 12 mini","2020-10-31","2178","2194","0.73"
"HomePod mini","2022-04-05","4441","4477","0.81"
"Magic Keyboard with Touch ID","2023-04-09","7864","7931","0.85"
"Apple Watch Ultra","2024-08-30","8893","8977","0.94"
"AirPods (2nd Generation)","2022-06-13","5564","5619","0.99"
"Apple Pencil (1st Generation)","2024-06-30","13936","14132","1.41"
"iPhone 14 Pro","2021-12-24","6659","6762","1.55"
"iPad (9th Generation)","2022-03-08","4882","4960","1.60"
"Mac Mini (M2)","2021-10-30","4274","4366","2.15"
"iPad Pro (M2)","2021-08-25","4349","4443","2.16"
"Leather Case for iPhone","2022-06-23","5365","5485","2.24"
"Magic Trackpad","2024-05-25","12855","13184","2.56"
"Apple TV 4K","2023-02-17","2227","2291","2.87"
"Mac Mini","2020-09-27","1088","1122","3.13"
"Mac Studio","2024-02-15","10059","10491","4.29"
"iCloud","2021-01-26","1934","2020","4.45"
"Apple Music","2020-09-26","1091","1140","4.49"
"iPhone 12 Pro Max","2020-09-09","1141","1194","4.65"
"Apple Watch Nike Edition","2020-06-24","3329","3486","4.72"
"Apple Fitness+","2021-05-06","3098","3298","6.46"
"MacBook (Retina)","2023-10-17","5970","6388","7.00"
"MacBook Pro 16-inch","2021-12-28","3214","3444","7.16"
"Apple News+","2022-01-26","4037","4334","7.36"
"MacBook Air (M1)","2023-11-11","7143","7711","7.95"
"iPad mini (6th Generation)","2022-11-27","6519","7043","8.04"
"Mac Pro (Rack)","2022-06-06","6200","6713","8.27"
"MacBook Air (M2)","2020-05-24","1070","1160","8.41"
"AirTag","2020-05-11","2030","2203","8.52"
"iPad Air (5th Generation)","2021-03-06","1030","1154","12.04"
"MacBook Pro (Touch Bar)","2024-06-17","8915","9993","12.09"
"iPad Air (4th Generation)","2021-04-24","2051","2329","13.55"
"iPhone 13 Pro","2021-03-22","2992","3447","15.21"
"AirPods Pro (2nd Generation)","2021-01-29","1742","2065","18.54"
"iPhone 13 mini","2021-06-20","4582","5617","22.59"
"iPad (10th Generation)","2021-05-18","2655","3273","23.28"
"Magic Keyboard","2020-05-16","2030","3326","63.84"
